fire Name,fire Overview,url,Incident Type,Incident Commander,Coordinates,Fuels Involved,Projected Incident Activity,Incident Cooperator,Location,Incident Description,Size,Total Personnel,Remarks,Cause,Planned Actions,Weather Concerns,Date of Origin,Significant Events,Percent of Perimeter Contained,Estimated Containment Date
Ramshorn Prescribed Burn,"

Image options: [ Full Size ] This spring Monongahela National Forest officials plan to conduct a prescribed burn on 1,005 acres of National Forest System land in the Ramshorn Project Area, southeast of Green Bank in Pocahontas County.  Why do we burn?  
Reintroducing fire will:  Restore historic fire regimesImprove wildlife habitatEnhance forest structure and age diversityImprove oak regenerationControl tree diseases and insectsReduce hazardous fuel levels  How do we manage a prescribed burn? 
Fire managers prepare a burn plan for each prescribed burn describing the appropriate conditions needed to conduct the burn safely and achieve the desired results. Burn plans consider public safety, protection of private property, staffing and equipment needs, temperature, humidity, wind, moisture of the vegetation, and conditions for the dispersal of smoke. Appropriate conditions must be met before igniting prescribed burns. A control line is established around each burn area before ignition, using hand tools and other equipment, roads, and natural features such as creeks and other water sources. Public Safety  
Each burn area will be closed to the public on the day of the burn. The area may be closed for several days for public safety. Signs will be posted along the fire line and at entry points into the area. Area residents and travelers may see or smell smoke during fire operations. If you encounter smoke on the highway, slow down, turn on your vehicle’s lights and drive appropriately for the conditions.  Public Notification 
The Forest Service will notify local 911 centers and radio stations on the day of the burn. Information, maps and the latest updates are available at inciweb.gov.  ContactsGreenbrier Ranger District 304-456-3335Public Information Officer Julie Fosbender, julie.fosbender@usda.gov, 304-635-4446 


",https://inciweb.nwcg.gov/incident/7352/,Prescribed Fire,N/A,"38.389 latitude, -79.775 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glass Canyon Fire,"

Firefighters are engaged in a wildfire in Terrell County, located approximately 6 miles south of Sanderson. The Glass Canyon Fire started on March 27, 2021 at approximately 5:30pm. Texas A&M Forest Service is in unified command with local departments. 
The fire is burning in very rough terrain. Access has been an issue to be dealt with. Alternate access that will be scouted in the morning could allow the dozer to secure a portion of the fire in the lower elevation. All responders will be off the fire tonight and return in the morning.  Initial Fire Weather: Elevated fire weather conditions will continue into mid evening as a north wind shift is expected on the fire before 7:30PM. Winds will stay above 15mph until after 3AM. Recovery will be slow to improve, but eventually becoming fair. Much warmer and drier Monday when elevated conditions are likely.  

",https://inciweb.nwcg.gov/incident/7354/,Wildfire,John Settlocker,"30.056 latitude, -102.414 longitude",grass and brush,N/A,N/A,"approximately 6 miles south of Sanderson, TX",N/A,92 Acres,N/A,N/A,Under Investigation,N/A,elevated fire conditions,"Saturday March 27th, 2021 approx.   05:30 PM",N/A,100%,N/A
244 Fire,"

Image options: [ Full Size ]Friday, April 2, 20217:30 a.m. UpdateThe 244 Fire is now 100% contained at 136 acres, and some resources are demobilizing from the incident. A Type 4 incident organization remains in place, under Incident Commander Eric Allen, to continue mop-up and rehab of fireline, and patrol lines to guard against any potential wind-driven rekindle.Mount Rushmore National Memorial is open with no restrictions; please drive carefully and be on the lookout for fire traffic along SD 244. US 16A, Iron Mountain Road, will reopen at 7 p.m. tonight.The firefighters, incident managers, and Mount Rushmore National Memorial staff appreciate the patience and understanding of local residents and visitors as we work diligently to safely reopen all areas affected by the 244 Fire.

",https://inciweb.nwcg.gov/incident/7355/,Wildfire,Eric Allen - NPS,"43.892 latitude, -103.409 longitude",N/A,N/A,N/A,N/A,N/A,136 Acres,40,N/A,Human,Continue mop-up and rehab; patrol lines.,N/A,N/A,N/A,100%,N/A
Schroeder Fire,"

Image options: [ Full Size ]The Schroeder Fire was detected on March 29, 2021, 4 miles west of Rapid City, South Dakota. It grew rapidly near a heavily populated area in the burn scar of the 1988 Westberry Fire. State local, state and federal resources responded to the fire. Multiple neighborhoods were threatened, and residents were evacuated. Local fire department response was crucial in the containment of the Schroeder Fire. The South Dakota National Guard Helicopter and Heavy Air Tankers worked together to help the ground resources protect property and extinguish hot spots. The local Type 3 team transitioned with The Rocky Mountain Area Blue Team on March 30. On April 1, most of the residents were allowed to return to their homes, and the closure of Highway 44 was lifted. On April 2, residents of the the Cleghorn Canyon and Nameless Cave Roads neighborhoods were allowed to return home. At 6:00 p.m. Monday, April 5 the Rocky Mountain Area Incident Command Team Blue (Type 2) transferred command of the Schroeder Fire to a local Type 3 management organization. This page will not be updated unless a significant event occurs.



",https://inciweb.nwcg.gov/incident/7356/,Wildfire,Jared Hohn,"44.071 latitude, -103.355 longitude","Timber (Grass and Understory)
Closed Timber Litter
Deep timber litter and heavy dead and down fuels.","12 hours: The chance of wetting rain is 80%. Highs will be in the 30s and minimum RH will be above 60%
Anticipated after 72 hours: Another cold front will push through Thursday night with a few scattered showers possible. Friday will be cooler with highs in the low 50s. Minimum RH will stay above critical thresholds. Winds will remain out of the north from 10-20 mph. Seasonal temperatures are expected this weekend.",N/A,"3 miles west of Rapid City, SD",N/A,"2,224 Acres",79,N/A,Unknown,Mop up and suppression repair.,"A Red Flag Warning was in effect from 1200 to 1900 hours today. A cold front moved through the fire area bringing NW wind gusts from 30-40 mph. Cloudy skies are expected tomorrow with rain/snow showers likely tomorrow afternoon. The chance of wetting rain is 80%. Highs will be in the 30s and minimum RH will be above 60%. Rain/snow showers will continue through midday Wednesday and highs will be in the 40s while minimum RH drops to 60%. Breezy north winds are expected through the period. We will return to mostly sunny skies Thursday with temperatures in the 60s, minimum RH near 30%, and north winds from 10-20 mph.","Monday March 29th, 2021 approx.   09:30 AM","Minimal 
Smoldering",100%,N/A
Tecolote Fire,"

Firefighters are currently responding to the Tecolote Fire located in Hidalgo County, west of Raymondville and north of Hwy 186. Forward progression has been stopped. Texas A&M Forest Service (TFS) resources are on scene and engaged in containment efforts utilizing an engine and heavy equipment. TFS has established unified command with US Fish and Wildlife Service and local fire departments. Aerial resources were requested, which are staged in Alice, Texas. An Air Attack is on scene providing aerial guidance and surveillance. Two Single Engine Air Tankers also made several water drops onto the fire.    

",https://inciweb.nwcg.gov/incident/7358/,Wildfire,"Tim Pierson, Texas A&M Forest Service","26.57 latitude, -97.974 longitude",grass and brush,N/A,N/A,N/A,N/A,818 Acres,N/A,N/A,Lightning,N/A,N/A,N/A,N/A,100%,N/A
Elk Fire,"

The Elk Fire is 229 acres and 100% contained. Incident command has transitioned to the Jackson IHC, with Darren Smith as ICT4 and Karel Williams as ICT4-trainee. All resources except for the Jackson, MS Type 1 IA crew will be released today.  

",https://inciweb.nwcg.gov/incident/7359/,Wildfire,"Darren Smith,ICT4; Karel Williams, ICT4t","33.833 latitude, -108.271 longitude","Short grass, one foot",N/A,N/A,"30 miles east of Reserve, Catron County, NM. east of Elk Mountain.",N/A,229 Acres,20,N/A,Under Investigation,N/A,N/A,"Wednesday March 31st, 2021 approx.   10:00 AM",N/A,100%,N/A
George Washington Jefferson NFs Rx Fire,"

Image options: [ Full Size ] All prescribed burning is complete for the 2021 Spring season. Additional burns are planned for the Fall of 2021.  Fire Managers are conducting prescribed burns at various locations within the George Washington and Jefferson National Forests this spring.  Safety is our top priority. Experienced fire managers create a burn plan for each prescribed burn, closely monitor local weather conditions such as wind and humidity, and adjust the burning schedule as needed to ensure the safety of both crewmembers and local residents. Prior to lighting a burn, crews construct and designate firebreaks to keep fire within the identified burn area. Contingency plans, additional personnel, and equipment are also in place for any unexpected events. Burn areas, including nearby roads and trails, will be temporarily closed for public safety while burns are active. Residents and travelers in the vicinity of prescribed burns may see or smell smoke.  Historically, fire has shaped our forests and maintained the overall health of the Appalachian landscape. Prescribed fire creates young forest and open woodland habitat, which has diminished in recent decades and is needed by birds, wildlife and plants to thrive. Prescribed fire also promotes the regeneration of oaks, hickories, and yellow pine by reducing competition from fire intolerant species, such as red maple. The US Forest Service works with partners to conduct prescribed burns that mimic natural fires, which provide numerous benefits in achieving diverse and healthy landscapes by:  • Reducing hazardous fuels and protecting communities from wildfire • Minimizing the spread of pest insects and disease • Providing forage for game  • Improving habitat for threatened and endangered species • Recycling nutrients back into the soil • Promoting the growth of trees, wildflowers, and other plants • And much more . . .   

",https://inciweb.nwcg.gov/incident/7360/,Prescribed Fire,N/A,"37.671 latitude, -79.861 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gila Fire,"

Image options: [ Full Size ]The Gila Fire began on April 2 along the Gila River bottom about 60 miles east of Yuma, Ariz., and approximately 10 miles north/northeast of Dateland and Interstate 8. 
Fire is now 100% contained. This will be the final update unless activity increases. 

",https://inciweb.nwcg.gov/incident/7361/,Wildfire,N/A,"32.914 latitude, -113.437 longitude",chaparral and short grass,N/A,N/A,"60 miles east of Yuma, north of Dateland, Ariz.",N/A,"2,130 Acres",22,N/A,Lightning,N/A,N/A,"Friday April 02nd, 2021 approx.   07:15 AM",N/A,100%,N/A
Big Mountain Prescribed Burn,"

Image options: [ Full Size ]This spring Monongahela National Forest officials plan to conduct a prescribed burn on 975 acres of National Forest System land in the Big Mountain area, southwest of Cherry Grove in Pendleton County. The Forest Service burned here in 2019 and will conduct a series of burns in this area for the next several years. Why do we burn? 
Reintroducing fire into the forest will:  Restore historic fire regimesImprove wildlife habitatEnhance forest structure and age diversityImprove oak regenerationControl tree diseases and insectsReduce hazardous fuel levels How do we manage a prescribed burn? 
Fire managers prepare a burn plan for each prescribed burn describing the appropriate conditions needed to conduct the burn safely and achieve the desired results. Burn plans consider public safety, protection of private property, staffing and equipment needs, temperature, humidity, wind, moisture of the vegetation, and conditions for the dispersal of smoke. Appropriate conditions must be met before igniting prescribed burns. A control line is established around each burn area before ignition, using hand tools and other equipment, roads, trails, and natural features such as creeks and other water sources. Public Safety 
Each burn area will be closed to the public on the day of the burn. The area may be closed for several days for public safety. Signs will be posted along the fire line and at entry points into the area. Area residents and travelers may see or smell smoke during fire operations. If you encounter smoke on the highway, slow down, turn on your vehicle’s lights and drive appropriately for the conditions.  Public Notification 
The Forest Service will notify local 911 centers and radio stations on the day of the burn. Information, maps and the latest updates are available at inciweb.gov.  Contact 
Cheat-Potomac Ranger District 304-257-4488 Public Information Officer Julie Fosbender, julie.fosbender@usda.gov, 304-635-4446 

",https://inciweb.nwcg.gov/incident/7363/,Prescribed Fire,N/A,"38.604 latitude, -79.595 longitude",N/A,N/A,N/A,N/A,N/A,975 Acres,N/A,4/29/2021: Big Mountain Prescribed Burn is complete.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elk Fire 2021,"

Image options: [ Full Size ]The Elk Fire is 100% contained as of April 9, 2021.In the afternoon of Sunday, April 4, Klamath National Forest firefighters responded to a fire in the Elk Creek area, about seven miles southeast of the town of Happy Camp.  CAL FIRE resources also responded with a helicopter and a fire crew.
 Rugged terrain and numerous snags from previous fires in the area presented challenges for firefighters and, as of Monday morning (April 5, 2021), the #ElkFire had grown to 43acres.  
About 25 firefighters are assigned to the Elk Fire, with one crew, two engines, and a water tender. Firefighters are patrolling firelines and mopping up.The cause of the fire remains under investigation.
Please remember to be careful with all potential ignition sources this spring. There is no rain in the forecast for the Klamath National Forest and conditions are unseasonably dry. Please do your part to prevent wildfires. Remember, one less spark, one less wildfire. 

",https://inciweb.nwcg.gov/incident/7364/,Wildfire,"Mario Gomez ICT3, Matt Prentiss ICT3(t)","41.721 latitude, -123.296 longitude",Timber with many dead snags from previous fires,N/A,N/A,"Elk Creek area, approximately 7 miles southeast of Happy Camp, CA",Wildfire in the Elk Creek drainage of the Happy Camp/Oak Knoll Ranger District of the Klamath National Forest,43 Acres,25,N/A,Under Investigation,"Mop up, patrol",No precipitation forecasted,"Sunday April 04th, 2021 approx.   02:00 PM",N/A,100%,N/A
GMUG Prescribed Fire Program,"

The Grand Mesa, Uncompahgre and Gunnison National Forests Fire Management Officials are planning several prescribed burns this spring. The vegetation treatments will occur March through June depending upon weather and appropriate ground and vegetation conditions. Prescribed fire projects are weather dependent and may take several weeks to complete. The prescribed burns will be accomplished using joint-agency fire resources, mitigation measures and protocols that are in place to reduce the risk and transmission of COVID-19.  Reintroduction of fire is necessary to improve and restore vegetative conditions. This effort will reduce hazardous ground fuels, lessen the risk of unplanned large-scale wildfire, help restore ecosystems and improve wildlife habitat. Prescribed fire helps with reducing the ladder fuels that can carry fire into the canopy, killing mature trees. Prescribed fire in these areas will burn with less intensity under moderated conditions which will improve the resiliency of the landscape against wildfire. Safety of firefighters and the public are the most important factors considered when planning a prescribed burn. Fire Management Officers and Fuels Specialists spend countless hours developing detailed prescribed fire plans that detail specific weather, fuel conditions and staffing and safety requirements. Ignitions will occur using ground and aerial techniques. Ignitions only occur if conditions are conductive to a safe, effective operation and within appropriate smoke dispersal parameters set by the State of Colorado. Air quality will be closely monitored to mitigate smoke related impacts to communities.   For more information on how prescribed burning and pile burning smoke may affect your health, please visit: https://www.colorado.gov/pacific/cdphe/wood-smoke-and-health.
  The following burns are planned: West Zone – Norwood/Ouray Ranger Districts •         Glencoe Pine: Located approximately 13 miles northeast of Nucla, CO off 25 Mesa road (National Forest System Road (NFSR) #503). Approximately 450 acres are planned to be burned to increase the resiliency and reproduction of native ponderosa pine stands.   •         Sanborn Park: Located approximately 5 miles northeast of Norwood, CO near Sanborn Park road (NFSRs #530, #515 and #526). Approximately 300 acres are planned to be burned to increase the resiliency and reproduction of native ponderosa pine stands and protect adjacent private property from the spread of unplanned wildfires.   •         Thunder Road: Located approximately 6 miles southwest of Norwood, CO adjacent to Thunder road (NFSR #609). Approximately 350 acres are planned to be burned to increase the resiliency and reproduction of native ponderosa pine stands, improve wildlife habitat, increase range forage production and protect adjacent private property from the spread of large unplanned wildfires.   •         25 Mesa: Located approximately 25 miles west of Delta, CO on 25 Mesa road (NFSR #503). Approximately 1,406 acres are planned to be burned to increase the resiliency and reproduction of native ponderosa pine stands, protect adjacent private property from the spread of unplanned wildfires and reduce slash from mechanical treatments.    
East Zone – Gunnison Ranger District •         Los Pinos: Located approximately 35 miles south of Gunnison in the Cochetopa Park area. Approximately 1,000 acres are planned to be burned to reduce vegetation (fuels) and improve wildlife habitat improvement.  •         West Elk: Located approximately 14 miles west of Gunnison and about 4-6 miles north of Blue Mesa Reservoir. Approximately 600 acres are planned to be burned to reduce vegetation (fuels) and improve wildlife habitat.   
North Zone – Grand Valley/Paonia Ranger Districts •         Calamity Hills - Located 28 miles southwest of Grand Junction, CO within Mesa County on the northwest portion of the Uncompahgre National Forest. Approximately 1,727 acres are planned to be burned to maintain and enhance productivity vegetation to benefit wildlife and to reduce the natural buildup of vegetation (fuels).  •         Calamity Understory - Located on the northwest portion of the Uncompahgre National Forest, roughly 28 miles southwest of Grand Junction CO within Mesa County. Approximately 400 acres are planned to be burned to reduce vegetation (fuels) and to improve wildlife habitat.  •         Steamboat Rocks- Located on the Lands Ends road (NFSR #101) roughly 6 miles south of Grand Junction within Mesa County. Approximately 1,100 acres are planned to be burned to reduce the threat of wildfire and improve wildlife habitat.   
For information on prescribed burns, pile burns, wildfires and fire restrictions on National Forest System lands and other areas, call the Grand Mesa, Uncompahgre and Gunnison National Forests Fire Information line at (970) 874-6602.   GMUG Forest website: www.fs.usda.gov/gmug    GMUG Fire Information: https://www.facebook.com/GMUGFireInfo/    Twitter: https://twitter.com/GMUG_NF      
For additional information on planned burns, please contact the specific Fire Management Officials at:  Corey Robinson: Forest Fire Management Officer – West Zone – Norwood/Ouray Ranger Districts (970) 901-6691  Ben Sanders: Fire Management Officer – North Zone – Grand Valley/Paonia Ranger Districts (970) 263-5824  Pat Medina: Fire Management Officer – East Zone – Gunnison Ranger District (970) 642-4407

",https://inciweb.nwcg.gov/incident/7369/,Prescribed Fire,N/A,"38.717 latitude, -108.053 longitude",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Margo Fire ,"

Image options: [ Full Size ]Firefighters have the Margo Fire 100% contained at 1,148 acres. The fire has been put in monitor status and the Arizona Department of Forestry and Fire Management has turned it back over to the Dudleyville Fire District. As of Saturday, all residents of Dudleyville were able to return home. There are no road closures in the area. 
The Margo Fire started around 9am, Thursday, April 8th within the Gila River bottom near Dudleyville in Pinal County. Hot and dry conditions, dense fuel, and windy conditions challenged firefighters throughout the day. Unsafe conditions, high fire activity, smoke impacts, and proximity of involved fuels forced the evacuation of approximately 200 residents of Dudleyville. A state fire investigator has confirmed the fire was human caused and is working to determine the ignition source. Arizona Department of Forestry and Fire Management on Twitter - https://twitter.com/azstateforestry Arizona Department of Forestry and Fire Management on Facebook - https://www.facebook.com/arizonastateforestryFor information on evacuations contact the Pinal County Sheriff's Office or follow them on social media. For information on road closures contact the Arizona Department of Transportation or follow them on social media. Ready Set Go - https://ein.az.gov/ready-set-go  

",https://inciweb.nwcg.gov/incident/7370/,Wildfire,"Jacob Pace, DFFM","32.916 latitude, -110.73 longitude","Salt Cedar, grass, and brush",N/A,N/A,Dudleyville - Pinal County,Wildfire,"1,148 Acres",69,N/A,"Human Caused, Under Investigation",N/A,Sustained Winds of 20 miles per hour with gusts up to 35 miles per hour expected.,"Thursday April 08th, 2021 approx.   09:00 AM",N/A,100%,N/A
G22,"

Image options: [ Full Size ]On Saturday, April 17, 2021 the G22 fire transitioned from the White Mountain Zone Type 3 Team back to a Type 4 fire organization led by Incident Commander Danny Taylor. This is the final update on the G22 fire from the White Mountain Zone Type 3 Incident Management Team unless conditions worsen, or factors determine otherwise.

",https://inciweb.nwcg.gov/incident/7371/,Wildfire,Ben Plumb,"34.153 latitude, -110.627 longitude","Timber (Litter and Understory), Brush (2 feet), Medium Logging Slash",Anticipating interior consumption of unburned islands.,N/A,"18 Miles SSW of Heber, AZ",N/A,"2,026 Acres",56,N/A,Under Investigation,Patrol and hold fire within containment lines.,"Near seasonable temperatures and light winds from the west becoming northeast are expected over the next few days. Chances for scattered rain showers and possibly a thunderstorm increase each day, with Sunday looking to be the most likely day for any precipitation.","Saturday April 03rd, 2021 approx.   12:00 AM","Minimal, Backing, Creeping, Smoldering",70%,N/A
Horse Pasture,"

Image options: [ Full Size ]The Horse Pasture Fire was reported on Saturday, April 3, 2021 on the Little Missouri National Grassland, McKenzie Ranger District. It has burned into the North Unit of Theodore Roosevelt National Park.Wintery weather conditions that developed over this weekend are a welcome sight to the firefighters that have been working the Horse Pasture Fire for the past week. The fire, currently mapped at 5,000 acres, is now 95% contained.At 6:00 a.m. Wednesday, April 14, 2021 the incident will be turned back to the local unit for continuing patrols and any additional mop-up needs.  This will be the last update to Inciweb. 

",https://inciweb.nwcg.gov/incident/7372/,Wildfire,"Rod Skalsky, ICT4","47.621 latitude, -103.298 longitude",Tall Grass & Brush,N/A,N/A,N/A,Wildfire,"5,000 Acres",1,N/A,N/A,N/A,N/A,"Saturday April 03rd, 2021 approx.   12:00 AM",N/A,100%,N/A
Pfluger Fire,"

Image options: [ Full Size ]Firefighters are currently responding to the Pfluger Fire located in Tom Green County, approximately 15 miles southeast of Wall on FM 1223. Texas A&M Forest Service (TFS) resources are on scene and engaged in containment efforts utilizing an engine and heavy equipment. TFS has established unified command with Wall Volunteer Fire Department. Departments on scene are Wall, Christoval, Pecan Creek, and Dove Creek. The fire is burning with moderate behavior in juniper and grass. Dry and windy conditions are present across the fire area.     

",https://inciweb.nwcg.gov/incident/7373/,Wildfire,"Cody Lambert, Texas A&M Forest Service","31.19 latitude, -100.183 longitude","oak, juniper and grass",N/A,N/A,"approximately 15 miles southeast of Wall, TX in Tom Green County",N/A,142 Acres,N/A,N/A,Powerlines,N/A,N/A,"Friday April 09th, 2021 approx.   01:45 PM",N/A,100%,N/A
South Rim 4,"

Image options: [ Full Size ]The South Rim 4 fire was declared ""out"" on June 1, 2021. 
Immediate hazards have been mitigated. Tree mortality will continue to be monitored and mitigated as needed. Temporary hazard awareness signs have been placed in around the burn area. Permanent aluminum signs have been orderedThe South Rim 4 Fire has had zero growth over the last six days. Cooler temperatures and higher humidity have reduced fire activity and slowed spread. There are still a few fingers of active burning and various hot spots within the perimeter of the fire. Smoke has been reported in the Townsend areas of the Chisos. Those areas will be watched. The fire is 80% contained. 
After burning for eleven days, the South Rim Fire has grown to 1341 acres and extended through much of the “sky island” of the high Chisos Mountains; however, the fire has not grown for four days. Aerial reconnaissance observed that the fire has left a patchy mosaic of scorched, burned, slightly singed, and untouched areas across the South Rim to Emory Peak, and into the lower Boot Canyon drainage. Several fingers of active burning continue. The cause of the South Rim 4 Fire remains unknown. Details of each operational period events:  Fire on the South Rim, as of 4/8/2021: The fire size upon initial size-up was 15 acres and located at the southern tip of the South Rim between Boot Canyon and Laguna Meadow. The head of the fire has met the edge of the rim and slowed. Yesterday, Texas Forest Service air attack has dropped retardant to keep the fire spread down while a crew of firefighters (the Diablos) were headed to the scene, and monitoring the situation through the evening. Trails and campsites in the high Chisos are closed to entry.   As of 1600 (4 p.m.), 4/9/21: The fire is backing toward the north and west. High winds are expected to continue into the evening. Our firefighters are working hard to contain the fire to the East and south of the Colima trail and south of the Boot cabin. Fire size is estimated at 300 acres.  On 4/9/2021: The South Rim Fire extended along the rim last night. Current on-site estimate is ~250 acres, primarily along the extreme southern edge of the South and East Rim. Additional retardant drops will occur today. Winds remain strong from the west/NW which is considered favorable. The firefighters are working hard in challenging conditions to keep the fire from spreading. On 4.10.21 crews worked on structure protection of Boot cabin and the corrals. A successful backburn in the Chisos was conducted for structure protection of Boot cabin.  By late Saturday, about 2/3 of the fire’s perimeter had stagnated after moving into rocky terrain and cliff edges. It is also slowly backing down Boot Canyon. On 4.11, crews worked on containment along the fire’s slowing edges in the High Chisos and setting up structural protection in the Basin developed area. Structural fire engines will be staged in the Basin area. By late Sunday, the Diablos Firefighters were able to cold-trail and contain the entire western flank of the fire, while the Mount Taylor Hotshots worked directly on advancing flames at the Emory Peak/Pinnacles saddle. With the help of carefully coordinated helicopter bucket drops of water, the crews were able to successfully secure that area. During the evening hours, fire climbed the eastern side and across the summit plateau of Toll Mountain. Flames and thick smoke were observed throughout much of the park.  On 4.12, Using 18 bucket drops they were able to get that under control and saved the Toll Mountain Campsite and composting toilet, trees, etc. in that area. On 4.13, cooler temperatures and higher humidity helped slow fire spread. The two hotshot crews will remain to monitor and take advantage of any opportunities to extend the containment. The structural crews have the Basin developed area prepped and protected.  On 4.14, another day of cooler temps and higher humidity has really helped keep fire activity down. Yesterday there was NO fire growth. Helicopter bucket drops were ""very effective"" in Boot and Juniper Canyon areas.  On 4.15, crews continued to work on securing the fire along the Toll Mountain ridgeline, keeping the developed area safe and defended, and conducting some prep work along the Lost Mine Saddle. The helicopter will be used for a detailed recon of the fire, and bucket drops along the east side as needed. Condition assessment of the various trails and backcountry campsites will also be happening today.   On 4.16, the hotshot crews will be monitoring, beginning to clear downed trees along trails, and directing bucket drops on the remaining hot spots. There are at least 38 trees down across the trails, with the majority in Boot Canyon. Diablos are working in the Basin area today, reducing fuels and ensuring that it is firesafe. The structural crew remains on duty to prep and protect Basin infrastructure. Resource staff are continuing their assessment and documentation of conditions along trails and around the backcountry campsites. On 4.17, the cool weather will continue to reduce fire activity. Crews will continue to monitor the fire, and direct bucket drops as necessary along the eastern edge. Effort are beginning to wind down. Some resources will begin to demobilize and depart Big Bend over the next few days. Assessment of the trails and campsites will continue.  On, 4.17, transition day for the fire from a Type 3 Incident Management Team (IMT) to a Type 4 (IMT) team. This indicates that the fire is decreasing in complexity and fire activity. The two Hotshot Crews will be demobilizing today. The Diablos Crew will stay on scene. The fire will continue to be monitored and bucket drops of water will be used as needed. Rehabilitation will also continue.    CLOSURE: The Chisos Basin will re-open at 11 a.m., on Friday, April 23rd.  Follow the park's twitter feed for the latest updates: https://twitter.com/BigBendNPS  

",https://inciweb.nwcg.gov/incident/7374/,Wildfire,DW Ivans,"29.226 latitude, -103.299 longitude",Timber (grass and understory); Short grass (1 foot),Minimal growth potential,N/A,South Rim of Chisos Mountains in Big Bend National Park,N/A,"1,341 Acres",93,"No major concerns at this time as weather is cooperating. Additional increase in acreage is from more accurate mapping. 
Transition to Type 4 IC on Monday 4/19/2021.",Unknown,"Monitor the fire from the Lost Mine Trail. 
Continue to enhance defensible space in the Chisos Basin. 
Trail and campsite hazard tree 
mitigation with wilderness tools
Support trail repairs
Provide security patrol to the Basin",Weather conditions for the next three days are favorable for minimal for fire growth.,"Thursday April 08th, 2021 approx.   01:30 PM",minimal smoldering,100%,N/A
Cobham Hill,"

Cobham Hill Wildfire Declared out at 08:30 on 04/22/21.

",https://inciweb.nwcg.gov/incident/7375/,Wildfire,PA DCNR Bureau of Forestry – Cornplanter Forest District,"41.726 latitude, -79.314 longitude",N/A,N/A,"Warren County Department of Public Safety, Volunteer Fire Departments, PA Bureau of Forestry, USDA Forest Service",N/A,N/A,227 Acres,N/A,"Declared out at 08:30 on 04/22/21.
Additional information may be requested from Cornplanter Forest District (Fd14@pa.gov , 814-723-0262). For information on Wildfire Prevention  or how/when to safely burn outdoors in Pennsylvania, visit http://www.dcnr.state.pa.us/forestry/wildlandfire/index.htm",N/A,N/A,None at this time,"Thursday April 08th, 2021 approx.   12:00 PM",Declared out at 08:30 on 04/22/21.,100%,N/A
Cassel Way Fire,"

Image options: [ Full Size ]Fire is located within the Bastrop County Complex burn scar along Cassel Way Drive in Bastrop Texas. 
Yesterday at approximately 5:49pm, Bastrop County requested Texas A&M Forest Service (TFS) assistance for a fire along Cassel Way in Bastrop. TFS Resources were in route at 5:49pm and tied in with unified command with Bastrop ESD2. Approximately 15 homes were directly threatened and approximately 24 homes were evacuated.  Local fire departments provided structure protection, with TFS dozer and local fire department dozer providing line construction. Star Flight provided water drops on the head of the fire. There have been no reports of structures damaged and no report of injuries. Yesterday, there were approximately 50 personnel, 31 apparatus, 1 TFS dozer, and 1 local dozer on scene.  The weather for today: Sunny with a high near 88F. Winds around 8-9mph from the South with minimum humidity near 25 -30%. Conditions within this area are conducive to reignition and ember production. There will be smoke due to heavy debris burning interior.  There is a Temporary Flight Restriction (TFR) within 5 nautical miles of the Cassel Way Fire until 8:00am 4/12/2021. NOTAM ID: FDC 0/0895 Today’s plan is to improve containment lines as well as monitor and patrol the fire.

",https://inciweb.nwcg.gov/incident/7376/,Wildfire,N/A,"30.155 latitude, -97.234 longitude",N/A,N/A,N/A,N/A,N/A,37 Acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,N/A
